sep=;
Time(HH:mm:ss.fff);Speed(km/h);Voltage(V);Current(A);Distance(km);Altitude(m);Date;SpeedGPS(km/h);Latitude;Longitude;AccuracyPosition(m);BatteryPercentage;WrongCRCs;AssistLevel;OffRoadMode;ErrorCode;DisplayTemp(C);MotorTemp(C);BatteryTemp(C);ControllerTemp(C);MotorPower(W);PedalCadence(rpm);HumanTorque(Nm);HeartRate(bpm)
15:26:52.896;7.21;53.55;0.00;0.00;149.62;2025-09-14;0.00;50.9112765;34.8203861;19.96;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:53.098;7.21;53.65;0.00;0.00;149.62;2025-09-14;0.00;50.9112867;34.8203619;27.55;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:53.277;9.02;53.65;0.00;0.00;149.62;2025-09-14;0.00;50.9112867;34.8203619;27.55;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:53.498;9.02;53.79;0.00;0.00;149.62;2025-09-14;0.00;50.9112867;34.8203619;27.55;93;0;5;0;1;24;205;205;205;0;0;0;255
15:26:53.699;9.02;53.81;0.00;0.00;149.62;2025-09-14;0.00;50.9112867;34.8203619;27.55;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:53.908;9.98;53.81;0.00;0.00;149.62;2025-09-14;0.00;50.9112867;34.8203619;27.55;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:54.121;9.98;53.81;0.00;0.00;147.30;2025-09-14;0.00;50.911294;34.8203283;30.62;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:54.300;9.98;53.83;0.00;0.00;147.30;2025-09-14;0.00;50.911294;34.8203283;30.62;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:54.483;10.22;53.85;0.00;0.00;147.30;2025-09-14;0.00;50.911294;34.8203283;30.62;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:54.663;10.22;53.83;0.00;0.00;147.30;2025-09-14;0.00;50.911294;34.8203283;30.62;93;0;5;0;1;24;205;205;205;0;0;0;255
15:26:54.838;10.22;53.92;0.00;0.01;147.30;2025-09-14;0.00;50.911294;34.8203283;30.62;93;0;5;0;1;24;205;205;205;0;0;0;255
15:26:55.055;10.22;53.85;0.00;0.01;147.30;2025-09-14;0.00;50.911296;34.8202939;30.52;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:55.259;10.22;53.87;0.00;0.01;147.30;2025-09-14;0.00;50.911296;34.8202939;30.52;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:55.439;10.22;53.89;0.00;0.01;147.30;2025-09-14;0.00;50.911296;34.8202939;30.52;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:55.661;10.22;53.87;0.00;0.01;147.30;2025-09-14;0.00;50.911296;34.8202939;30.52;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:55.897;9.50;53.89;0.00;0.01;147.30;2025-09-14;0.00;50.911296;34.8202939;30.52;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:56.070;9.50;53.94;0.00;0.01;147.30;2025-09-14;6.81;50.9112877;34.8202413;28.02;93;0;5;0;1;24;205;205;205;0;0;0;255
15:26:56.250;9.50;53.90;0.00;0.01;147.30;2025-09-14;6.81;50.9112877;34.8202413;28.02;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:56.422;9.50;53.89;0.00;0.01;147.30;2025-09-14;6.81;50.9112877;34.8202413;28.02;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:56.571;9.50;53.89;0.00;0.01;146.90;2025-09-14;0.00;50.9112531;34.8202509;18.60;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:56.721;9.38;53.83;0.00;0.01;146.90;2025-09-14;0.00;50.9112531;34.8202509;18.60;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:56.872;9.38;53.90;0.00;0.01;146.90;2025-09-14;0.00;50.9112531;34.8202509;18.60;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:57.021;9.38;53.90;0.00;0.01;150.96;2025-09-14;8.17;50.9113183966548;34.8202328743402;13.19;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:57.171;9.38;53.90;0.00;0.01;150.96;2025-09-14;8.17;50.9113183966548;34.8202328743402;13.19;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:57.323;9.38;53.90;0.00;0.01;150.96;2025-09-14;8.17;50.9113183966548;34.8202328743402;13.19;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:57.474;9.26;53.90;0.00;0.01;150.96;2025-09-14;8.17;50.9113183966548;34.8202328743402;13.19;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:57.652;9.26;53.90;0.00;0.01;150.96;2025-09-14;8.17;50.9113183966548;34.8202328743402;13.19;93;0;5;0;1;27;205;205;205;0;0;0;255
15:26:57.804;9.26;53.90;0.00;0.01;146.90;2025-09-14;7.78;50.9113303;34.820221;23.44;93;0;5;0;1;27;205;205;205;0;0;0;255
